#,Indicator Name,Indicator Description,Importance and Relevance to Imagine Austin,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,units,Methodology,Data Source
11,Homeless Count,This indicator measures the total number of persons who were identified and counted as homeless in the federally mandated Austin/Travis County Annual Point-in-Time Count. By its nature a count only includes persons who are homeless on the day of the count. Point-in-time counts tend to underestimate families and children and do not include individuals living in marginal situations.,"Homeless persons are often subjected to the elements, crime, and other maladies which often results in tragic consequences. Imagine Austin calls for reducing homelessness through supportive housing, mental health services/counseling, and alcohol/drug treatment.",,,1771,2087,2362,2244,2090,1987,1832,2138,2036,persons,"Between 2:00 a.m. and 9:00 a.m. on January 28th of each year, over 500 volunteers count the number of children, families and adults experiencing homelessness sleeping outdoors without shelter. Volunteer counted people in cars, tents, parks, under bridges, and on the streets. That same night, staff at agencies operating shelters and transitional housing programs count persons staying sheltered in their facilities as well.",Austin ECHO Point in Time Counts
35,Development within the 100 year Floodplain,This indicator measures the number of habitable buildings located in the 100-year floodplain. Floodplains are the areas likely to flood when our creeks rise and flow over their banks. Tracking development within the floodplain allows us to assess the risk to public safety. The 100-year floodplain is only suited for very limited development due to that risk. Numbers go down with City projects to remove or reduce risk to existing structures. Flood regulations prevent more structures from being introduced to the floodplain. Numbers can increase if areas with existing structures are annexed into the corporate city limits.,Imagine Austin calls for actions that reduce the threats flooding poses to public safety and private property.,,,,,,2380,,,,,1816,structures,The City of Austin Watershed Protection Department uses hydrologic & hydraulic engineering models and Geographic Information Systems (GIS) to map floodplains and then identify structures in the floodplain. Capital projects are implemented to reduce flood risk and the results are tracked in GIS.,City of Austin Watershed Protection Department
41,Amount of Permanently Preserved Land,"This indicator measures the combined acreage of the City of Austin owned or managed lands that are permanently protected from development. This includes the Balcones Canyonlands Preserve (BCP), the Water Quality Protection Lands (WQPL), and nature reserves managed by the Parks Department. These lands are typically set aside for species and water quality protection. The goal of the BCP is to protect and enhance the habitat of endangered and rare species as mitigation for land development, as well as manage these forest ecosystems to protect water, air, and scenic resources. The primary goal of the WQPL is to produce the optimal level of high quality water to recharge the Barton Springs segment of the Edwards Aquifer by managing protected land to restore prairie-savanna ecosystems and healthy riparian corridors. Nature preserves share these and other goals. (Note: Preservation lands owned or managed by county, state, or federal entities, are not included in these totals but further contribute to these regional goals.)","Imagine Austin calls for actions that direct development away from sensitive environmental resources, protect existing open space and natural resources, and improve air and water quality.",41001,41170,42647,42658,42690,42698,43383,44561,44587,44569,44575,acres,"Totals were generated by adding together acreage of City of Austin-purchased, owned, or managed lands in the WQPL program, BCP program, and designated ""Nature Preserves"" in the PARD inventory, including areas located within and outside the City of Austin’s full purpose jurisdiction.","Water Quality Protection Land program totals from 2006 and 2012 bond programs
Balcones Canyonlands Preserve Annual Reports
Nature Preserves: PARD annual and monthly inventory reports"
66,Annual Unlinked Transit Passenger Trips,This indicator tracks the total number of passenger boardings on all Capital Metro transit options.,Imagine Austin seeks to increase public transit ridership by expanding service to activity centers and increasing the efficiency of current system.,34039700,37399300,39438600,35859500,34740300,35512300,36402300,34178500,34700250,,,trips,"The total number of passenger boardings on all bus, rail, and mobility services. 
Passengers are counted each time they board a transit vehicle.",Federal Transit Administration
40,Tree Canopy Coverage,"This indicator measures the tree canopy coverage of Austin's full, limited, and extraterritorial jurisdictions. This is represented as the percentage of the total land area that is covered by tree foliage and is strongly correlated with the overall health of the urban environment. This indicator is measured using image analysis and GIS software and is subject to error at smaller scales.","Imagine Austin calls for actions that maintain and increase Austin’s urban forest as a key component of the green infrastructure network. Austin's urban forest provides social, ecological and economic benefits to the community and enhances the quality of life for Austin residents. City policies and practices aim to preserve, maintain, and replace individual trees and the urban forest as a whole.",,,,35,,,,36,,,,percent,"To calculate this indicator color infrared aerials are processed using GIS software to isolate tree canopy reflectivity to estimate total tree canopy coverage; grass, shrubs, and other plants are excluded.",City of Austin Watershed Protection Department
120,Overall Investment ($) in the Arts by the City of Austin,"This indicator measures the amount of funding from the City of Austin invest to provide support to arts activities and contracted arts services in Austin. This includes funding for the Cultural Arts Division of the Economic Development Department, Parks and Recreation Department's Arts and Culture Facilties, the Austin Bergstrom International Airport art, and MCP","Indicator relates to the financial investment offered to the creative community through the EDD Cultural Arts Division's Cultural Funding Programs, Cultural Tourism, and TEMPO temporary public art program.",,,,,,8472939,11329219,12715538,14908283,15352295,,USD,This indicator is calculated through annual accounting of Hotel Occupancy Tax funding utilized by the Cultural Arts Division.,City of Austin
121,Percent of New Housing Units within the Growth Centers and Corridors,Percentage of new residential units issued permits in the Imagine Austin growth centers and corridors as compared to the rest of the City of Austin.,Imagine Austin calls for a majority of growth to occur in centers and corridors.,57.61,48.19,31.02,35.35,41.82,70.35,65.05,59.84,57.04,56.35,,percentage,"Data for issued building permits from 2007 through 2016 was retrieved from the City of Austin's Application Management and Data Automation (AMANDA). Permit data for issued building permits is available only for the full purpose and limited purpose jurisdiction of the City of Austin, so for the purpose of this analysis, only the full purpose and limited purpose jurisdictional areas are taken into consideration. 
The Imagine Austin corridors were given a buffer of 0.125 miles on either side, with rounded edges, and then combined with the Imagine Austin centers polygons to form one polygon so as to avoid couple counting permits within both a center and a corridor.
All permits issued for the construction of new residential units within the Imagine Austin growth areas were then selected and compared to the number of permits issues for the construction of new residential units outside of the Imagine Austin growth areas.",City of Austin Building Permit data
122,Percent of New Non-Residential Development within Growth Centers and Corridors,Percentage of new non-residential issued permits in the Imagine Austin growth centers and corridors as compared to the rest of the City of Austin.,Imagine Austin calls for a majority of growth to occur in centers and corridors.,64.8,68.3,54.2,62.8,62.3,80.4,67.8,70.1,74.9,67.3,,percentage,"Data for issued building permits from 2007 through 2016 was retrieved from the City of Austin's Application Management and Data Automation (AMANDA). Permit data for issued building permits is available only for the full purpose and limited purpose jurisdiction of the City of Austin, so for the purpose of this analysis, only the full purpose and limited purpose jurisdictional areas are taken into consideration. 
The Imagine Austin corridors were given a buffer of 0.125 miles on either side, with rounded edges, and then combined with the Imagine Austin centers polygons to form one polygon so as to avoid couple counting permits within both a center and a corridor.
All permits issued for the construction of new non-residential development within the Imagine Austin growth areas were then selected and compared to the number of permits issues for the construction of new non-residential units outside of the Imagine Austin growth areas.",City of Austin Building Permit data
88,Ratio of Jobs to Households,"This indicator measures the jobs to housing balance. It is a ratio between the total job count in a jurisdiction and the total household count, i.e., occupied housing in the same area.","Imagine Austin notes a regional mismatch between the location of residences and jobs partly as a result of lifestyle preferences, but also rising housing costs throughout the region. Prospective homeowners must “drive until they qualify” to find affordable housing that meets their needs, and many of these affordable units are found in distant subdivisions with limited transportation options.",,,,1.56,,,,,,,,ratio,This indicator is calculated by dividing the total jobs in the Imagine Austin study area by the total households in the same geography.,household data: U.S. Census Bureau; jobs data: Texas Workforce Commission
118,Number of Annual Cultural Contracts Applications,"Indicator relates to the financial investment offered to the creative community through the EDD Cultural Arts Division's Cultural Funding Programs, Cultural Tourism, and TEMPO temporary public art program.","This indicator relates to the level of community cultural activity taking place in Austin, supported by the City.",,,,,,244,275,257,401,478,,cultural funding applications,"The number of applications received has increased dramatically in the past two years from the levels seen in 2012-2014 due to increased community interest and participation, increased City outreach, and refinement of Cultural Arts program offerings by the City of Austin.","City of Austin, ZOOM Grants"
17,Number of Affordable Residential Units Funded,This indicator measures the number of housing units built that receive all or part of their funding from federal or local government and cost less than 80% of median income for a family of four.,Rising housing costs have displaced many longtime residents and discouraged development in central Austin. Imagine Austin calls for the creation of more affordable housing throughout the city through partnerships and incentives to bring families back into the urban core.,,,,262,479,517,156,87,191,310,,housing units,This measure is calculated by summing the total number of units created and or retained through the Rental Housing Development Assitance (RHDA) program.,"City of Austin Performance Reporting, NHCD"
117,Transportation System Total Annual Delay,This indicator represents the overall size of the congestion problem in Austin. It measures the cumulative travel time above that needed to complete a trip at free-flow speeds. The ranking of total delay usually follows the population ranking (larger regions usually have more delay).,,42462,42886,41227,43781,46010,48482,50055,51116,,,,thousands of person hours,"All data came directly from the Texas Transportation Institute. For a description of their mobility calculation methodologies, visit mobility.tamu.edu/ums/methodology/",Texas Transportation Institute
67,Vehicle Miles Traveled per Capita,This indicator is an estimate of daily vehicle miles traveled on public roads divided by a population. Vehicle miles Traveled (VMT) is a composite measure based on traffic counts from more than one source.,"Reducing VMT is a major goal of Imagine Austin. Increased vehicle use means increased pollution, congestion, delay, and a general breakdown and overuse of our transportation infrastructure. It is a reflection of sprawl development, separation of home and work, and poorly designed infrastructure.",19.33,18.16,17.55,16.75,16.78,15.88,15.98,16.34,,,,miles,Freeway Vehicle Miles Traveled and Arterial Vehicle Miles Traveled are summed and then divided by the total population.,Texas Transportation Institute
36,Residents Living within Walking Distance to Parks,This indicator measures the percent of residents living within ¼ mile walking distance of a park or accessible open space if inside the urban core or 1/2 mile walking distance of a park or accessible open space if outside of the urban core. Austin City Council policy calls for publicly-accessible and child-friendly parks and greenspace to be provided within ¼ mile and 1/2 mile walking distance of all residents inside and outside of the urban core respectively.,Imagine Austin calls for expanded and equitable access for active and passive parks throughout the city. This indicator also closely relates to the Imagine Austin vision of becoming a city of complete communities in which all Austinites have access to their daily needs within a short trip.,,,,,37,,,,,66.9,,percent,"To calculate this indicator, the Austin full and limited purpose population total was divided by the population totaled from the City of Austin Parkland Deficient Layer to get the percent of population that is park deficient.",City of Austin Parkland Deficiency Layer
119,"Participants in Arts, Culture, and Small Business Workshops Hosted by the City of Austin",This indicator measures the number of participants who attended workshops offered by the Economic Development Cultural Arts Division's Small Business Program as well as the Parks and Recreation Department.,"This indicator relates to the level of participation by the community to engage with and learn from City workshops geared toward professional development, education, and community networking designed to support the capacity, sustainability, and growth of the creative sector in Austin.",,,,,,186986,209630,366065,170391,325502,,participants,This indicator is an annual count of workshop attendees based on sign in sheets and registrations.,"Economic Development Department,
Parks and Recreation Department"
34,Development Within Edwards Aquifer Zones,"This indicator measures the total developed land area inside the City of Austin and its Extra Territorial Jurisdiction (ETJ) portion of the Edwards Aquifer Recharge and Contributing Zones. The aquifer is an underground layer of porous limestone rock that stores water. The contributing zone is where rainwater flows over land into creeks that “contribute” water to the aquifer downstream. The Recharge Zone contains karst limestone where water infiltrates and flows into karst caves, cracks, and other openings to directly fill or “recharge” the aquifer. There is little to no filtration of water pollutants in this recharge process, and it is therefore critical to reduce the level of intensity of development in these areas and use best management practices to capture, treat, and infiltrate stormwater runoff.","The Edwards Aquifer is perhaps the most important environmentally sensitive asset that provides drinking water and feeds a number of springs in Austin, including Barton Springs and its pool. Imagine Austin calls for directing growth away from the Barton Springs Zone of the Edwards Aquifer recharge and contributing zones and other water-supply watersheds.",,93.7,,99.4,,102.9,,105.9,,107.5,,square miles,"The City of Austin creates a land use inventory every 2 years that identifies categories of land uses that can then be classified as developed or undeveloped. Parcel GIS layers from the appraisal districts are copied and appraisal information, building permits, and other source information is ""attached"" to the parcels. Land use data from the previous year is also attached. Parcels with new structures based on the appraisal or building permits are classified into a land use. The information is verified in many cases through aerial photos or other observations. The land use categories are totaled and summed by their acreage in GIS. Each category is then assigned either developed or undeveloped. 
For this indicator, the Edwards Aquifer Zones are considered to be all land within the ETJ that is in the Edwards Aquifer Recharge and Contributing Zones, including those north of the river.",City of Austin Land Use Inventory GIS Layer
96,Small Business Growth,The yearly percentage change in the total number of employees working for businesses with fewer than employees.,Increasing small businesses and entrepreneurship is a major goal of Imagine Austin. Small businesses are a key component of Austin's economic vitality and resiliency.,,2.01,-2.94,2.69,4.95,5.32,4.61,5.82,3.6,,,percent,"To calculate this indicator, the average of quarterly figures for beginning of the quarter employee counts are gathered for each year for all private firms with 0-19 employees and 20-49 employees. Counts from each firm size are combined to create a figure for the average of all quarters in a given year from private employers with 0-49 employees. These totals are compared year to year to create a percentage change rate. 
[ (Following Year – Previous Year) / Previous Year ]",US Census Bureau
18.3,Prevalence of Smoking,This indicator measures the prevalence of smoking among all Travis County adults. It is defined as respondents 18 years and older who have smoked 100 cigarettes in their lifetime and now smoke every day or some days.,Tobacco is a major cause of death in Travis County. And reducing tobacco use (and specifically smoking) is a major goal of Imagine Austin.,,,,,16.3,14.6,11.5,10.7,14.1,14.3,,percent,"The BRFSS is conducted by Texas Department of State Health Services on an annual basis. An over sample of the Travis County population is performed to ensure sufficient sample size for population subgroups. Prevalence estimates are obtained on a yearly basis for behavioral risk factors and chronic diseases in adults. Subgroup analysis (e.g. by age group, race/ethnicity, income, education, or health insurance status) is available for combined years only to establish a more stable estimate.","Texas Department of State Health Services, Behavioral Risk Factor Surveillance System"
114,Percent of Population that Performs the Recommended Amount of  Physical Activity,This indicator measures the percent of Travis County adults that participate in at least 150 minutes of moderate to vigorous physical activity per week.,"Exercise is part of the Healthy Austin program. Investing in accessible walking and biking networks and open space will provide residents increased opportunities for outdoor exercise as part of their daily routines.

Increasing the percentage of Travis County adults who perform the recommended physical activity each week is a major goal of Imagine Austin and is linked to other chronic diseases such as diabetes, obesity, and CVD.",,,,,56.5,,48.7,,49.7,,,percent,"The BRFSS is conducted by Texas Department of State Health Services on an annual basis. An over sample of the Travis County population is performed to ensure sufficient sample size for population subgroups. Prevalence estimates are obtained on a yearly basis for behavioral risk factors and chronic diseases in adults. Subgroup analysis (e.g. by age group, race/ethnicity, income, education, or health insurance status) is available for combined years only to establish a more stable estimate.","Texas Department of State Health Services, Behavioral Risk Factor Surveillance System"
71.1,Bicycle Lane Miles,This indicator measure the total linear miles of bicycle lanes within the city limits.,"Bicycle lanes increase access and connectivity to jobs and services, and walking contributes to health, reduces emissions, and add to the quality of life in a community.",,117.6,133.9,146.3,165.6,189.5,207.1,236.4,246.2,321.5,338.2,linear miles,Bicycle Lane Miles are calculated by adding the linear mileage of new bicycle lanes installed in the fiscal year to the cumulative linear mileage from the previous fiscal year. The Active Transportation and Street Design project database tracks the linear mileage of each project as they are implemented.,"City of Austin, Active Transportation and Street Design project database"
26,Developed Land Area,"This indicator tracks the change in developed land area in the City of Austin full and limited jurisdiction and Extraterritorial Jurisdiction (ETJ). ""Developed"" land is any land that has been improved, either with buildings or other functions, including new parkland and open space. Austin's urban, developed land area sprawled from 56 square miles to over 300 square miles between 1960 and 2010. Most of this development has not been compact, resulting in severe traffic, pollution, and costly and deteriorating infrastructure.","Imagine Austin calls for most new development to occur in growth centers, along corridors, and as infill development, while protecting agricultural, natural, and environmentally sensitive areas.",,322.4,,342.1,,353,,362.8,,372.1,,square miles,"The City of Austin creates a land use inventory every 2 years that identifies categories of land uses that can then be classified as developed or undeveloped. Parcel GIS layers from the appraisal districts are copied and appraisal information, building permits, and other source information is ""attached"" to the parcels. Land use data from the previous year is also attached. Parcels with new structures based on the appraisal or building permits are classified into a land use. The information is verified in many cases through aerial photos or other observations. The land use categories are totaled and summed by their acreage in GIS. Each category is then assigned either developed or undeveloped.",City of Austin Land Use Inventory GIS Layer
