#,Indicator Name,Indicator Description,Importance and Relevance to Imagine Austin,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,units,Methodology,Data Source
39,Environmental Integrity Index of Stream Water Quality,"This indicator measure the percentage of watersheds having good or better Environmental Integrity Index (EII) scores. EII is a comprehensive set of water quality measurements which collectively assess watershed health. The EII is a program designed to regularly monitor and assess the chemical, biological, and physical integrity of Austin’s creeks and streams. The overall EII score is a comprehensive reflection of the health and resilience of Austin’s creeks. Austin creeks are now assessed every other year. It can be used to identify where problems occur and may be used to track the success of Austin’s water quality protection efforts over time.","Imagine Austin calls for actions that strengthen flood control, erosion, and water quality programs, incentives, regulations, and enforcement to incorporate best practices and meet or exceed national standards. EII monitoring collects the data essential to track present conditions and progress towards meeting these goals.",,40,,58,,49,,55,,75,,percent,"The EII is a data collection system used to monitor and assess the chemical, biological, and physical integrity of Austin’s creeks and streams. Currently, all watersheds are monitored on a two-year rotating basis. More than 50 different types of parameters are measured to yield scores for contact recreation, non-contact recreation and aesthetics, water quality chemistry, sediment quality, physical integrity, and aquatic life support, which are combined into a single composite score. A rating of ""good"" means a given creek reach is in good overall condition and meets the minimum goals of the Watershed Protection Master Plan.",City of Austin Watershed Protection Department
83,Intersection Density,"This indicator measures the number of street intersections per square mile. For this calculation, all intersections are weighted evenly, regardless of the number of connecting streets.",Imagine Austin calls for new development that is more walkable and less dependent upon automobile travel. Research shows that intersection density has the most influence on walkability and vehicle miles traveled (VMT).,34.3,34.8,35,35.1,35.3,34.8,35,35.3,35.4,35.5,,intersections per square mile,"To calculate intersection density, the total land area of the City of Austin full, limited, and extraterritorial jurisdiction was summed and the area of parks, preserves, and lakes were subtracted. Then the total number of intersections within the same area was found and highways, ramps, and turnarounds were subtracted. Then a GIS kernel density analysis was performed on the intersection points for each year (this output can be displayed as a heat map). Finally, the number of intersections for each calendar year was divided by the number of square miles in the study area minus any changes to the study area (ETJ changes) for that particular year.","City of Austin, Intersection GIS data"
5,Residential Vacancy Rate,"This indicator measures the number of vacant or uninhabited housing units divided by the total number of units. Vacant units are excluded from the housing inventory if they are open to the elements, that is, the roof, walls, windows, and/or doors no longer protect the interior from the elements. Also excluded are vacant units with a sign that they are condemned or they are to be demolished.","Vacancy status has long been used as a basic indicator of the housing market and provides information on the stability and quality of housing for certain areas. The data is used to assess the demand for housing, to identify housing turnover within areas, and to better understand the population within the housing market over time. These data also serve to aid in the development of housing programs to meet the needs of persons at different economic levels.",8.03,8.36,8.37,8.93,7.97,8.23,6.99,7.95,8.23,8.16,,percent,The data for this indicator are pulled from the American Community Survey.ACS is a survey with sampled statistics on the citywide level and is subject to a margin of error. ACS sample size and data quality measures can be found on their website in the Methodology section.,"US Census Bureau, American Community Survey"
3,Median Housing Values,"This indicator measures the median housing value, which divides the value distribution into two equal parts: one-half of the cases falling below the median value of the property (house and lot, mobile home and lot, or condominium unit) and one-half above the median. The data include only units that are owned or on the market and reflect what the property would sell for if it were for sale.",Rising median home values have displaced many longtime residents and discouraged affordable development in central Austin. Imagine Austin calls for the creation of more affordable housing by way of partnerships and incentives to bring families back into the urban core.,195500,210600,214300,214500,217700,22100,234800,255900,282700,308500,,USD,The data for this indicator include all housing units that are owned or currently on the market and their sale price if they were on the market at the time of the study. The values are divided into two equal parts with one half of the values falling below the median value and the other half above the median value.ACS is a survey with sampled statistics on the citywide level and is subject to a margin of error. ACS sample size and data quality measures can be found on their website in the Methodology section.,"US Census Bureau, American Community Survey 1-Year Estimates"
4,Median Gross Rent,"This indicator measures the median gross rent, which divides the gross rent distribution into two equal parts: one-half of the cases falling below the median gross rent and one-half above the median. The data include only renter-occupied housing units paying cash rent.",A majority of Austinites rent and do not own their property. The tighter mortgage market means rental property will continue to play a large part in housing Austin’s residents. Rising rents have displaced many longtime residents and discouraged development in central Austin. Imagine Austin calls for the creation of more affordable housing by way of partnerships and incentives to bring families back into the urban core.,905,892,883,901,905,974,1008,1084,1139,1194,,USD,The data for this indicator include all renter-occupied housing units paying cash rent. The values are divided into two equal parts with one half of the values falling below the median gross rent and the other half above the median gross rent.ACS is a survey with sampled statistics on the citywide level and is subject to a margin of error. ACS sample size and data quality measures can be found on their website in the Methodology section.,"US Census Bureau, American Community Survey"
8,"Community and School Gardens per 1,000 People","This indicator measures the acreage of community and school gardens as a function of population. Community gardens are areas gardened collectively by a group of people. School gardens are included in the total garden acreage. Although school gardens do not serve the same purpose of community gardens, they are teaching future community gardeners, and have therefore been included.","Community gardens integrate nature into the city and allow for a space where people can gather to learn about local food production, healthy diets, and the natural sciences.",,,,,,0.021,0.032,0.033,0.036,0.051,0.053,"acres per 1,000 population","The acreage of all community and school gardens within the Austin city limits is totaled and divided by the City's population and multiplied by 1,000.",City of Austin Community Garden GIS inventory
18.1,Prevalence of Obesity,"This indicator measures the prevalence of obesity among all Travis County adults. It is defined as respondents 18 years and older who have a BMI of 30 or greater, calculated by self-reported height and weight.","The chronic diseases associated with the risk factors of tobacco use, poor nutrition, and lack of physical activity (including some cancers, diabetes, heart disease, stroke, chronic obstructive pulmonary disease, and asthma) are the underlying causes of most deaths in Travis County.Reducing obesity is a major goal of Imagine Austin.",,,,,19.1,23.6,23.3,20.5,24,23.2,,percent,"The BRFSS is conducted by Texas Department of State Health Services on an annual basis. An over sample of the Travis County population is performed to ensure sufficient sample size for population subgroups. Prevalence estimates are obtained on a yearly basis for behavioral risk factors and chronic diseases in adults. Subgroup analysis (e.g. by age group, race/ethnicity, income, education, or health insurance status) is available for combined years only to establish a more stable estimate.","Texas Department of State Health Services, Behavioral Risk Factor Surveillance System"
18.2,Prevalence of Tobacco Use,This indicator measures the prevalence of current tobacco use among all Travis County adults. It is defined as respondents 18 years and older who use smokeless tobacco every day or some days and/or are current smokers.,"The chronic diseases associated with the risk factors of tobacco use, poor nutrition, and lack of physical activity (including some cancers, diabetes, heart disease, stroke, chronic obstructive pulmonary disease, and asthma) are the underlying causes of most deaths in Travis County. Tobacco is one of the major causes of death in Travis County.Reducing tobacco use is a major goal of Imagine Austin.",,,,,17.4,15,15.3,12.2,16.6,16.7,,percent,"The BRFSS is conducted by Texas Department of State Health Services on an annual basis. An over sample of the Travis County population is performed to ensure sufficient sample size for population subgroups. Prevalence estimates are obtained on a yearly basis for behavioral risk factors and chronic diseases in adults. Subgroup analysis (e.g. by age group, race/ethnicity, income, education, or health insurance status) is available for combined years only to establish a more stable estimate.","Texas Department of State Health Services, Behavioral Risk Factor Surveillance System"
18.4,Prevalence of Cardiovascular Disease,"This indicator measures the prevalence of cardiovascular disease among Travis County adults. It is defined as respondents 18 years and older who were told by a health professional that they had a heart attack, angina/coronary heart disease or stroke. The chronic diseases associated with the risk factors of tobacco use, poor nutrition, and lack of physical activity (including some cancers, diabetes, heart disease, stroke, chronic obstructive pulmonary disease, and asthma) are the underlying causes of most deaths in Travis County.","Reducing the prevalence of CVD is a major goal of Imagine Austin. It is linked to other risk factors such as obesity, poor nutrition, tobacco use, and lack of physical activity.",,,,,5,4.9,1.5,4.4,4.9,6.2,,percent,"The BRFSS is conducted by Texas Department of State Health Services on an annual basis. An over sample of the Travis County population is performed to ensure sufficient sample size for population subgroups. Prevalence estimates are obtained on a yearly basis for behavioral risk factors and chronic diseases in adults. Subgroup analysis (e.g. by age group, race/ethnicity, income, education, or health insurance status) is available for combined years only to establish a more stable estimate.","Texas Department of State Health Services, Behavioral Risk Factor Surveillance System"
18.5,Prevalence of Diabetes,This indicator measures the prevalence of diabetes among all Travis County adults. It is defined as respondents 18 years and older who were told by a health professional that they have diabetes.,"The chronic diseases associated with the risk factors of tobacco use, poor nutrition, and lack of physical activity (including some cancers, diabetes, heart disease, stroke, chronic obstructive pulmonary disease, and asthma) are the underlying causes of most deaths in Travis County.Reducing diabetes is a major goal of Imagine Austin. It is linked to other risk factors such as obesity, poor nutrition, and lack of physical activity.",,,,,8,7.2,9.3,7.2,7.5,10.4,,percent,"The BRFSS is conducted by Texas Department of State Health Services on an annual basis. An over sample of the Travis County population is performed to ensure sufficient sample size for population subgroups. Prevalence estimates are obtained on a yearly basis for behavioral risk factors and chronic diseases in adults. Subgroup analysis (e.g. by age group, race/ethnicity, income, education, or health insurance status) is available for combined years only to establish a more stable estimate.","Texas Department of State Health Services, Behavioral Risk Factor Surveillance System"
37,Total Water Pumpage in Gallons per Capita per Day,This indicator measures the total water pumped from Austin Water treatment plants in Gallons Per Capita Per Day (GPCD). The total water pumpage per capita per day is how Austin Water tracks our community's progress relative to City Council's goal of reducing water use in Austin to 140 gallons per capita per day or lower by 2020.,"This indicator is a central focus of the SMOWR priority program and their work in water resource management, water conservation, water reuse, and integrated water resource planning while balancing available resources, evolving technologies, growth trends, and environmental impacts. These efforts are reflected in the SMOWR Priority Program work goals including integrated water management, water conservation goals, and drought planning.",151,170,167,137,162,142,136,125,122,122,126,gallons,"The total annual amount of water pumped from Austin Water treatment plants is divided by the population of its service area, both residential and wholesale, and then divided by the number of days in the year. The result is the amount of water used on a gallons per capita per day (gpcd) basis.","City of Austin, Austin Water"
38,Residential Water Consumption in Gallons per Capita per Day,"This indicator measures water consumption based on metered water volumes used by customers in the residential sector in Gallons Per Capita Per Day (GPCD) for single-family and multifamily water consumption only. The data are based on all single-family and multifamily retail customers according to billing records. This indicates our community's water use and efficiency on the household level, independent of growth in the business or industrial sectors.","The residential gallons per capita use indicator relates to the Sustainably Manage Our Water Resources (SMOWR) Priority Program in that a central focus of the program is on water resource management, water conservation, water reuse, and integrated water resource planning while balancing available resources, evolving technologies, growth trends, and environmental impacts. This indicator reflects residential use, independent of growth in business or industrial sectors. These efforts are reflected in the SMOWR Priority Program work goals including integrated water management, water conservation goals, and drought planning.",82,94,96,80,96,84,79,70,67,71,71,gallons,"The total annual amount of metered water consumption by retail customers in the single-family and multifamily sectors according to billing records is divided by the estimated retail population in its service area, both residential and wholesale, and then divided by the number of days in the year.  The result is the amount of water used on a gallons per capita per day (gpcd) basis in the residential sectors (retail, single-family and multi-family).","City of Austin, Austin Water"
93,Unemployment Rate,This indicator measures in part the prosperity of a community. The unemployment rate is the percentage of individuals ages 16 and older seeking work who are in the civilian labor force.,"Austin's typically low unemployment rate attracts investment and provides opportunity to residents. However, certain sectors of the population experience higher unemployment levels. Imagine Austin calls for continued investment in our workforce, education systems, entrepreneurs, and local businesses in order to sustain and grow Austin's economy.",3.5,4,6.3,6.2,5.8,5.1,4.6,3.7,3,3.1,2.9,percent,This indicator was calculated by averaging the monthly unemployment rate for each year.,Texas Workforce Commission
70,Percentage of Street Frontage with Sidewalks,This indicator measures the percent of street frontage with sidewalks by dividing the actual linear miles of sidewalks by the potential linear miles of sidewalk within the city limits of Austin.,"Sidewalks increase access and connectivity to jobs and services, and provide a number of benefits by improving walkability, which contributes to health, reduces emissions, and can add to the quality of life in a community.",,,,,,,43.6,,,48.2,53.1,percent,Percent of street frontage with sidewalks calculated by dividing the actual linear miles of sidewalks by the potential linear miles of sidewalk within the city limits.,"City of Austin Public Works Department, Sidewalk GIS layer"
71.2,Percentage of Arterials with Bicycle Lanes,This indicator measure the percent of arterial street miles with bicycle lanes within the city limits.,"Bicycle lanes increase access and connectivity to jobs and services, and walking contributes to health, reduces emissions, and add to the quality of life in a community.",,,,,,,,34.4,35.4,37.6,37.9,percent,Percent of Arterials with bike lanes is calculated by dividing the total linear mileage of arterials in the City of Austin by the total linear mileage of arterals in the City of Austin with a bike lane. Total linear mileage of arterials was taken from GIS data available at the time City of Austin began tracking the indicator. The Active Transportation and Street Design project database tracks the linear mileage of projects on arterials as they are implemented.,"City of Austin, Active Transportation and Street Design project database"
77.1,Percentage of Trips by Biking,This indicator measure the percentage of commuting trips made using a bicycle out of all means of transportation for workers age 16 and older.,"Imagine Austin calls for investment in compact and connected development, including bicycle and pedestrian infrastructure, and greater use of that infrastructure through alternative forms of transportation.",1,1.4,1.1,1.11,2.01,1.66,1.48,1.44,1.37,1.53,,percent,Percentage of bicycle/walked trips was calculated by dividing citywide total number of journeys to work by the commuting workforce (all modes) by citywide total of journeys to work by bicycle or by walking. These values are based on citywide mode share excluding work from home.,"US Census Bureau, American Community Survey"
77.2,Percentage of Trips by Walking,This indicator measure the percentage of commuting trips made walking out of all means of transportation for workers age 16 and older.,"Imagine Austin calls for investment in compact and connected development, including bicycle and pedestrian infrastructure, and greater use of that infrastructure through alternative forms of transportation.",2.1,2.01,2.38,3.19,2.98,2.99,2.57,2.71,2.54,2.03,,percent,Percentage of bicycle/walked trips was calculated by dividing citywide total number of journeys to work by the commuting workforce (all modes) by citywide total of journeys to work by bicycle or by walking. These values are based on citywide mode share excluding work from home.,"US Census Bureau, American Community Survey"
102,Percent of Residents with Health Care Coverage,"This indicator measures the percent of Travis County residents with health care coverage defined as respondents 18 years to 64 years of age who report having any kind of health care coverage, including health insurance, prepaid plans such as HMOs, or government plans such as Medicaid or MAP. Adults over 64 years of age are automatically covered by Medicare and are not included.",Increasing access to health care is a major goal of Imagine Austin. Having health care is associated with improved management of chronic conditions and improved health outcomes.,,,,,,68.5,73.4,79.5,79.6,79.8,,percent,"The BRFSS is conducted by Texas Department of State Health Services on an annual basis. An over sample of the Travis County population is performed to ensure sufficient sample size for population subgroups. Prevalence estimates are obtained on a yearly basis for behavioral risk factors and chronic diseases in adults. Subgroup analysis (e.g. by age group, race/ethnicity, income, education, or health insurance status) is available for combined years only to establish a more stable estimate.","Texas Department of State Health Services, Behavioral Risk Factor Surveillance System"
115,"Violent Crime Rate per 1,000 Population","This indicator measures the rate of violent crime in the community. It is defined by the number of Part I violent and property crimes, as defined by the FBI UCR (uniform crime reporting) program, and includes murder, rape, robbery, and aggravated assault. The crime rate is expressed as total offenses divided by Austin population/1,000.","Reducing crime is one of the goals of the comprehensive plan. The plan calls for improved collaboration between public safety providers and city planners to employ best development practices to reduce crime through urban design, density, mixed use development, and improved lighting, and others strategies.",,,,,,4.09,3.63,3.96,3.73,4.08,4.26,rate,"Violent crimes are counted by either number of victims (murder, rape, aggravated assault) or number of offenses (robbery). The violent crime rate is calculated by dividing the total violent crime count by a population factor (Austin population divided by 1,000). For prior years (FY 2014-15 and earlier), APD reports the FBI’s UCR violent crime rate. This rate is considered official, and it is calculated using the calendar year and Austin’s US census population. For FY 2015-16, the violent crime rate is based on a fiscal year and the full-purpose population. The FBI will release its official, final results in 2017.","City of Austin Police Performance Measuring City of Austin, Performance ATXCity of Austin Population Histories"
116,"Property Crime Rate per 1,000 Population","This indicator measures the rate of property crime in the community. It is defined by the number of Part I violent and property crimes, as defined by the FBI UCR (uniform crime reporting) program, and includes burglary, theft, and auto theft. Crime rate is expressed as total offenses divided by Austin population/1,000.","Reducing crime is one of the goals of the comprehensive plan. Property crime in Austin has been higher than other major cities. The plan calls for improved collaboration between public safety providers and city planners to employ best development practices to reduce crime through urban design, density, mixed use development, and improved lighting, among others.",,,,,,52.19,48.5,41.42,37.71,35.09,34.24,rate,"Property crimes are counted by number of premises entered (burglary), number of offenses (theft), or number of vehicles (auto theft). Property crime rates are calculated by dividing the property crime count by a population factor (Austin’s population divided by 1,000). For prior years (FY 2014-15 and earlier), APD reports the FBI's UCR property crime rate based on a calendar year and the City of Austin’s US census population. For the current year (FY 2015-16), the property crime rate is based on a fiscal year and Austin’s full-purpose population. This result will be considered unofficial until the FBI releases its final results in late 2017.",City of Austin Police Performance MeasuresCity of Austin Performance ATXCity of Austin Population Histories
6,Cost-Burdened Residential Units,"This indicator measures the percent of households where monthly rent (plus utility and/or housing fuel costs) or mortgage payments (or other housing debt costs) equal 30% or more of a household's monthly income. This metric provides a more complete picture of how affordable it is to live in Austin, since housing costs are but one of the components of the cost of living.",Rising costs of living paired with a slower wage growth has contributed to affordability issues in Austin. Imagine Austin calls for the creation of more affordable housing and to work to address household affordability with a holistic approach that address all of the various components that influence the cost of living.,38.64,37.87,38.85,42.37,39.98,39.22,38.15,37.34,36.12,34.64,,percent,This indicator is calculated by adding the total households spending more than 30% of income on housing costs and then dividing the sum by the total number of households in Austin.,"US Census Bureau, American Community Survey 1-Year Estimates, Table B25106"
85,Median Family Income,"This indicator measures the median family income, which divides the income distribution into two equal parts: one-half of family households falling below the median income and one-half above the median.","Median family incomes have generally been outpaced by median housing prices, and are thus an indication of housing affordability and general prosperity. This indicator may not capture households who have left Austin for more affordable housing options outside of the city limits.",63116,64726,62153,61605,63672,68023,71511,76663,76629,86615,,USD,"This indicator measures the median family income, which divides the income distribution into two equal parts: one-half of family households falling below the median income and one-half above the median.","US Census Bureau, American Community Survey"
